procedure_concept_id,procedure_concept_name,n
4240016,Surgical fracture of nasal turbinates,7
4242997,Cholecystectomy,7
4258134,Open reduction of fracture of medial malleolus with internal fixation,7
4262301,Rigid bronchoscopy,7
4298094,Spinal dural graft,7
4300662,Omentectomy,7
4302672,Excision of cyst of ovary,7
4308891,Indirect laryngoscopy with vocal cord injection,7
4343010,Ureteroscopic insertion of ureteric stent,7
4343013,Cystoscopy and retrograde pyelography,7
4346301,Excision of lesion of ganglion,7
4346406,Osteotomy of proximal tibia,7
36716168,Ipsilateral neck dissection,7
37016853,Robot assisted laparoscopic pelvic lymph node dissection,7
37111500,Excision of left adrenal gland,7
40492027,Primary open reduction of fracture of ankle and extramedullary fixation,7
40492281,Endoscopic removal of neoplasm from cranium,7
42536396,Revision of right total hip arthroplasty,7
42538220,Excision of left submandibular gland,7
42538221,Excision of right submandibular gland,7
42538309,Repair of right inguinal hernia using surgical mesh,7
42873083,Attention to cerebroventricular shunt,7
43531190,Laparoscopic excision of cyst of right ovary,7
44806334,Primary repair of paraumbilical hernia using suture,7
44809793,Diagnostic endoscopic examination of nasal cavity and biopsy of lesion of nasal cavity,7
46270909,Closed reduction of fracture of femur and internal fixation using dynamic hip screw plate,7
46271080,Excision of giant cell tumor of tendon sheath of finger,7
46273731,Thoracic laminectomy,7
4010119,Revision of hip replacement,6
4017464,Extended right hemicolectomy,6
4021544,Proximal subtotal gastrectomy,6
4030746,Incision and drainage of neck,6
4034459,Excision of cervical intervertebral disc,6
4034665,Arthroplasty of shoulder,6
4045858,Focal excision of brain abscess,6
4056030,Debridement of infection of skin,6
4062873,Decompression of foramen magnum,6
4067135,Meatoplasty of external ear,6
4070882,Open excision of lesion of lung,6
4071956,Inguinal ligation of varicocele,6
4072435,Marsupialization of Bartholin's gland,6
4073970,Revisional lumbar discectomy,6
4075442,Rim excision of mandible,6
4076066,Removal of implanted substance from bone,6
4076468,Revision cemented total hip replacement,6
4077597,Manipulation of knee joint under general anesthesia,6
4079649,Arthroscopy and biopsy of knee,6
4079664,Revision cemented total shoulder replacement,6
4080019,Repair of epigastric hernia,6
4081616,Needle biopsy of brain,6
4085381,Arthroscopic trimming of lateral meniscus,6
4102778,Radical excision of floor of mouth,6
4107444,Internal fixation using intramedullary nail,6
4112597,Arthroscopy of elbow,6
4118879,Resuture wound,6
4120390,Male artificial urinary sphincter procedure,6
4121445,Flap/pedicle graft revision,6
4130320,Emergency cesarean hysterectomy,6
4133512,Arthroscopic capsular release of shoulder joint,6
4140714,Primary open reduction of fracture of elbow and fixation with Hook fixation plate,6
4142889,Closed reduction of dislocated total prosthetic replacement of hip joint,6
4144883,Prosthetic replacement of cervical intervertebral disc,6
4146139,Median drainage of frontal sinus,6
4146255,Avulsion of varicose vein of leg,6
4150691,Excision of septum of uterus,6
4156596,Repair of genital tract laceration,6
4157779,Excision of malignant neoplasm,6
4163291,Partial excision of inferior turbinate,6
4170290,Incision and drainage of breast hematoma,6
4183891,Resection of soft palate,6
4186722,Biopsy of nose,6
4194478,Excision of Bartholin's cyst,6
4202444,Incision and drainage of abscess of genital labium,6
4208213,Excision biopsy of skin lesion,6
4221550,Panniculectomy,6
4229823,Ligation of hemorrhoidal artery,6
4238206,Segmental osteotomy of mandible,6
4250633,Atticotomy of ear,6
4259544,Open reduction of bimalleolar fracture of lateral and medial malleoli with internal fixation,6
4278755,Vulvectomy,6
4289172,Endoscopy of ileal conduit,6
4297365,Partial hip replacement by prosthesis,6
4310389,Excision of lesion of mouth,6
4321587,Removal of cerebral ventricular catheter,6
4323042,Excision of cyst,6
4327115,Operative procedure on hip,6
4332716,Biopsy of peripheral nerve,6
4337799,Dilation of cervical canal,6
4338661,"Complete transurethral resection of prostate, including control of postoperative bleeding",6
4341374,Antegrade ureteroscopy,6
4343336,Release of trigger thumb,6
4343472,Tenotomy of flexor digitorum of lesser toe,6
36714495,Completion thyroidectomy,6
37118389,Internal fixation of rib,6
37118674,Prosthetic total arthroplasty of left shoulder,6
40482196,Primary hemilaminectomy for decompression of lumbar spine,6
40487079,Segmental osteotomy of anterior mandible,6
40489392,Excision of lipoma of shoulder,6
40491379,Excision of neoplasm of intradural extramedullary spine,6
40492356,Excision of meningioma by infratentorial approach,6
42872831,Laparoscopic sacrocolpopexy,6
43531657,Open reduction of fracture of metacarpal bone with internal fixation,6
44807384,Reconstruction of medial patellofemoral ligament,6
44808459,Laparoscopic cerclage of cervix,6
44809452,Lipofilling of subcutaneous tissue of reconstructed breast,6
44809619,Open right hemicolectomy,6
44810113,Drainage of frontal sinus,6
46270929,Robot assisted laparoscopic excision of diverticulum of urinary bladder,6
46270965,Laparoscopic repair of bilateral direct inguinal hernias,6
46272245,Removal of cochlear implant,6
4022951,Nephrostogram,5
4034398,Arthroplasty of the carpometacarpal joint of the thumb,5
4046920,Focal excision of brain hematoma,5
4065590,Permanent tracheostomy,5
4066882,Excision of anal skin tag,5
4066976,Pilonidal sinus operation,5
4067254,Biopsy of lesion of nasal septum,5
4069034,Excision of lesion of tongue,5
4069038,Biopsy of lesion of tongue,5
4069110,Rubber band ligation of hemorrhoid(s),5
4069376,Operation on endolymphatic sac,5
4069581,Internal fixation of bone of clavicle,5
4070230,Browlift,5
4070879,Lobectomy of lung,5
4071951,Microsurgical epididymovasostomy,5
4073131,Open biopsy of urethral lesion,5
4073841,Reconstruction of scrotum with graft of skin,5
4073846,Fixation of bilateral testes,5
4073865,Construction of penis,5
4073867,Reconstruction of penis with skin graft,5
4074426,Excision of ectopic ovarian pregnancy,5
4079653,Uncemented unicompartmental knee replacement,5
4082629,Ultrasound guided biopsy,5
4093097,Laparoscopic dye test of fallopian tube,5
4096145,Delivery by vacuum extraction with episiotomy,5
4112242,Repair of elbow,5
4114779,Talc pleurodesis,5
4117037,Excision of bilateral vas deferens,5
4119403,Excision of lung or bronchus,5
4122405,Arthroscopy of wrist,5
4125708,Middle cranial fossa craniectomy,5
4129431,Posterior cranial fossa craniectomy,5
4131805,Incision and packing of wound,5
4140269,Primary anterior excision of lumbar disc and fusion,5
4142634,Removal of internal fixation device from clavicle,5
4143174,Excision of malignant tumor of rectum by transanal approach,5
4144019,Excision of lesion of intramedullary spinal cord,5
4145201,Fetal endoscopic tracheal occlusion for congenital diaphragmatic hernia,5
4148237,Patellar stabilization by tendon transfer,5
4150040,Debridement of skin and subcutaneous tissue,5
4152081,Incision and drainage of perineal abscess,5
4152086,Transanal submucosal excision of rectal tumor,5
4154692,Removal of calculus of urinary bladder by suprapubic approach,5
4162987,Colostomy,5
4167978,Excision of lesion of soft tissue,5
4169969,Incision and drainage of anorectal abscess,5
4172203,Endoscopic endometrial polypectomy,5
4173649,Lichtenstein repair of inguinal hernia,5
4179373,Insertion of endotracheal tube using laryngoscope,5
4181745,Posterior spinal instrumentation with segmental fixation,5
4184625,Incision and exploration of penis,5
4187786,Revision of colostomy,5
4189088,Reconstruction of penis with graft,5
4193037,Laparoscopic Nissen fundoplication using abdominal approach,5
4194240,Excision of exostosis of bone,5
4205235,Thompson hemiarthroplasty of hip joint using cement,5
4206903,Arthroplasty of radial head,5
4207360,Excision of lesion from floor of mouth,5
4214122,Suture of cervix,5
4219346,Meatoplasty of urethra,5
4219578,Cartilage graft to nasal septum,5
4227605,Sleeve resection of stomach,5
4230423,Excision of lipoma of subcutaneous tissue,5
4234298,Primary open repair of ruptured Achilles tendon,5
4238646,Excision of lymph node,5
4239615,Obliteration of mastoid cavity,5
4242876,Simple orchiectomy with placement of testicular prosthesis by scrotal approach,5
4249719,Internal fixation of tibia,5
4252418,Open reduction of fracture of tibia and fibula with internal fixation,5
4260695,Revision of breast implant,5
4261385,Craniectomy with excision of bone lesion of skull,5
4263223,Cerclage of cervix during pregnancy by abdominal approach,5
4272634,Hemimandibulectomy,5
4301347,Surgical manipulation of joint,5
4301904,Excision of lesion of inguinal region,5
4302622,Fluoroscopy guided angioplasty of superficial femoral artery with contrast,5
4305585,Arthroscopy of knee with lateral meniscectomy,5
4319321,Laparoscopic lysis of adhesions,5
4320141,Fusion of first metatarsophalangeal joint for hallux valgus repair,5
4330583,Vasectomy,5
4339494,Biopsy of nasopharynx,5
4343803,Excision of lesion of maxilla,5
4343906,Repair of ulnar collateral ligament of metacarpophalangeal joint of thumb,5
4345682,Open fetal operation,5
4346407,Osteotomy of distal tibia,5
4352647,Fiberoptic bronchoscopy with biopsy of lung,5
36716137,Hysteroscopic bipolar electrosurgical excision of uterine fibroid,5
40479229,Percutaneous fixation of fracture of neck of femur,5
40482664,Excision of lesion of intradural intramedullary spinal cord,5
40487348,Excision of scar,5
40490416,Fusion of joint of cervical spine with internal fixation by posterior approach,5
40491359,Trephination of cranium and drainage of empyema of subdural space,5
40493226,Excision of fallopian tube and surgical removal of ectopic pregnancy,5
42536329,Lumpectomy of left breast,5
42537261,Nasal septoplasty with submucous resection of nasal septum,5
42872444,Laparoscopy and peritoneal lavage,5
42872675,Excision of lesion of skin of neck,5
42872676,Excision of lipoma of subcutaneous tissue of neck,5
42873014,Enucleation of dental cyst of lower jaw,5
42873095,Biopsy of lesion of lung,5
43531086,Open reduction of dislocation of acromioclavicular joint,5
43531089,Open reduction of fracture of radius and ulna with internal fixation,5
43531095,Laparoscopic repair of spigelian hernia,5
43531099,Open repair of femoral hernia,5
43531695,Laparoscopic repair of inguinal hernia with prosthesis,5
44783129,Closed reduction of fracture of clavicle with internal fixation,5
44783282,Creation of programmable cystoperitoneal shunt of brain,5
44784422,Refashioning of perineum,5
44805757,Arthroscopic debridement of ankle joint,5
44806454,Primary reverse polarity total prosthetic replacement of shoulder joint,5
44807810,Panproctocolectomy,5
44809616,Laparoscopic left hemicolectomy,5
44811734,Ultrasonography guided percutaneous radiofrequency ablation of short saphenous vein,5
45769911,Subtotal abdominal hysterectomy and bilateral salpingo-oophorectomy,5
46270677,Laparoscopic-assisted low anterior resection of rectum,5
46270684,Excision of intramuscular lipoma,5
46270865,Excision of lesion of buccal mucosa,5
46270920,Robot assisted laparoscopic pyeloplasty,5
507338,Single anastomosis duodeno-ileal bypass with sleeve gastrectomy,4
4001562,Chest wall excision,4
4013054,"Exploratory craniotomy, supratentorial",4
4017608,Sigmoid colectomy and anastomosis of colon to rectum,4
4018022,Right hemicolectomy and end to end anastomosis of ileum to colon,4
4022792,Removal of central venous line,4
4027713,Biopsy of ear,4
4034274,Removal of foreign body from nose by incision,4
4048937,Revision of more than one component of ventricular shunt,4
4049494,Revision of peripheral neurostimulator electrodes,4
4050128,Angioplasty of artery,4
4054734,Repair of incarcerated inguinal hernia,4
4064643,Excision of lesion of parietal lobe of brain,4
4064644,Excision of lesion of occipital lobe of brain,4
4066328,Decompression of nerve via subclavian approach,4
4066658,Refashioning of jejunostomy,4
4068922,Surgical arrest of postoperative bleeding from tonsillar bed,4
4070758,Excision of lesion of scrotum,4
4071142,Destruction of lesion of floor of mouth,4
4071760,Wide excision of skin lesion,4
4072138,Plastic repair of radial insertion of biceps brachii,4
4074424,Right salpingectomy,4
4074832,Drainage of anterior abdominal wall,4
4076188,Arthroscopic synovectomy knee joint,4
4076599,Arthroscopic removal of loose body from knee joint,4
4076886,Arthrodesis of first metatarsophalangeal joint,4
4080104,Correction of complex craniofacial deformity,4
4087135,Surgical treatment of missed miscarriage of first trimester,4
4087744,Removal of foreign body from brain,4
4091158,Implant of vocal cords,4
4094217,Removal of bone flap of skull,4
4095023,Cingulotomy of brain by percutaneous radiofrequency,4
4096181,Cervical mediastinoscopy,4
4100348,Ventriculopleural shunt with valve,4
4106088,"Radical mastoidectomy, modified",4
4117951,Laser destruction of skin lesion,4
4119993,Modification of cranioplasty,4
4120963,Biopsy of axillary lymph node,4
4121441,Wound repair skin-plasty,4
4123420,Hemorrhoid operation,4
4127087,Sacrospinous fixation of vaginal vault,4
4129664,Arthrodesis of hindfoot joint,4
4130009,Repair of CSF leak from pituitary fossa,4
4130184,Excision of uterine polyp,4
4130421,Repair of incisional hernia using anterior sheath overlap,4
4135477,Repair of obstetric laceration of cervix,4
4135831,Osteotomy of tibia,4
4141958,Bypass of carotid artery by anastomosis of superficial temporal artery to middle cerebral artery,4
4142512,Cerclage of uterine cervix,4
4143388,Open debridement and irrigation of joint,4
4144391,Maxillary sinusotomy by intranasal approach,4
4145401,Excisional biopsy of lymph node,4
4147588,Excision of lesion of skin,4
4151121,Low anterior resection of rectum,4
4159766,Amputation of toe,4
4166287,Sistrunk operation for thyroglossal cyst,4
4167265,Surgical biopsy of muscle,4
4171194,Excision of lesion of anus,4
4172084,Biopsy of vulva,4
4172219,Ivor Lewis partial esophagogastrectomy,4
4173607,Exploration of cranium,4
4174132,Fusion of posterior lumbar spine,4
4178608,Glossectomy,4
4183323,Total thymectomy,4
4183458,Cauterization of tonsillar fossa,4
4185047,Arthroscopically aided anterior cruciate ligament augmentation,4
4187094,"Debridement of skin, subcutaneous tissue and muscle",4
4190070,Angioplasty of artery of lower extremity,4
4200015,Incision and drainage of sebaceous cyst,4
4203442,Gastrectomy,4
4215491,Glenoid bone block,4
4216307,Partial mandibulectomy,4
4217826,Revision rhinoplasty,4
4221857,Repair of spinal pseudomeningocele with laminectomy,4
4229887,Reconstruction of ossicles with tympanoplasty,4
4231751,Median sternotomy,4
4234618,Laparoscopic repair of paravaginal defect,4
4240699,Internal fixation of patella,4
4243017,Closure of intestinal cutaneous fistula,4
4265725,Reconstruction of ossicular chain,4
4269632,Incision of skin abscess,4
4271587,Ventriculostomy,4
4279758,Destruction of lesion of tongue,4
4290622,Release for de Quervain's tenosynovitis of hand,4
4297470,Decompression of trigeminal nerve root,4
4301130,Revision of distal catheter in shunt system,4
4305076,Cystoscopy and transurethral resection of bladder tumor,4
4305752,Osteotomy,4
4307677,Reopening of craniotomy site,4
4313715,Anchoring of tendon of biceps,4
4315036,Internal fixation of femur,4
4319571,Exploration of joint structures by incision,4
4332598,Excision of tumor of spinal cord meninges,4
4332709,Excision of spinal nerve root tumor,4
4335458,Total pharyngolaryngectomy,4
4335753,Displacement of vocal cord by inert substance,4
4337607,Completion pneumonectomy,4
4343904,Repair of meniscus,4
4343908,Ligament reconstruction,4
4346398,Closed reduction and internal fixation of proximal femoral fracture with Richard's cannulated hip screw,4
4346411,Excision of bone,4
4346413,Excision of exostosis from os calcis,4
35624541,Left total orchidectomy,4
36714152,Inguinal hernioplasty,4
37016717,Grafting of fat,4
37016987,Endovenous laser ablation of varicose vein of lower limb,4
37109413,Toilet and suture of wound,4
40479753,Percutaneous ablation of trigeminal nerve using fluoroscopic guidance,4
40479968,Arthrolysis after total prosthetic replacement of knee joint,4
40484052,Revision of decompression of median nerve at wrist,4
40485420,Open reduction of fracture of proximal tibia with internal fixation,4
40493348,Total excision of meningioma by supratentorial approach,4
42537383,Total excision of lactiferous duct of left breast,4
42538198,Subcutaneous mastectomy of right breast with prosthetic implant,4
42538399,Repair of left indirect inguinal hernia,4
42872496,Laparoscopic oophorectomy,4
42872517,Ligation of sphenopalatine artery,4
42872572,Laparoscopic excision of ectopic ovarian pregnancy,4
42872786,Uncemented total replacement of joint,4
42872811,Excision of mucous cyst of finger,4
43531126,Open reduction of epiphyseal fracture of phalanx with internal fixation,4
43531443,Revision of total prosthetic replacement of shoulder joint,4
43531542,Laparoscopic repair of recurrent inguinal hernia with prosthesis,4
44783433,Repair of buried penis,4
44806224,Excision of neck lump,4
44806576,Primary anterior thoracic spine corpectomy with reconstruction,4
44807924,Open high anterior resection of rectum,4
44807936,Open low anterior resection of rectum,4
45766798,Open rhinoseptoplasty,4
45773577,Radical hysterectomy with bilateral salpingo-oophorectomy,4
46270838,Laparoscopic omentectomy,4
46270896,Laparoscopic cardiomyotomy,4
46270962,Cervical cerclage of internal os during pregnancy,4
46270967,Laparoscopic repair of bilateral indirect inguinal hernias,4
46271059,Radiofrequency ablation of root of tongue,4
46272764,Allotransplantation of meniscus,4
46273703,Open reduction of fracture of humerus and internal fixation using Kirschner wire,4
46274029,Thumb surgery,4
4001532,Seminal vesicle reconstruction,3
4002550,Lip excision,3
4003042,Excision of neck,3
4003892,Seminal vesicle destructive procedure,3
4004442,Simple repair of superficial wounds of scalp and neck,3
4006599,Arthrodesis of interphalangeal joint of finger,3
4012176,Closure,3
4013006,Laser resurfacing of skin,3
4017998,Creation of ileostomy,3
4026223,Repair of rectal prolapse,3
4029357,Surgical removal of foreign body,3
4030312,Decompression of spinal cord,3
4030682,Rives prosthetic abdominal wall repair,3
4030687,Irrigation of abdominal wall,3
4034243,Surgical manipulation of temporomandibular joint,3
4040924,Excision of benign neoplasm,3
4040974,Femoral endarterectomy,3
4041073,Tendon repair by distal insertion,3
4045998,Muscle transfer,3
4046509,Revision of gastrojejunal anastomosis with reconstruction with bowel resection,3
4047494,Biopsy of breast,3
4048622,Reconstruction of nose,3
4048950,Obliteration of intracranial arteriovenous fistula,3
4049958,Wedge resection of tongue,3
4060818,Laminectomy with excision of intraspinal lesion,3
4066974,Drainage of perianal abscess,3
4067492,Functional endoscopic sinus surgery - antrostomy via inferior meatus,3
4067499,Endoscopic extirpation of lesion of oropharynx,3
4067814,Augmentation of alveolar ridge using auto bone graft,3
4068506,Manual removal of foreign body from rectum,3
4068716,Excision of exostosis of facial bone,3
4068767,Revision of stoma of small intestine,3
4069360,Myringotomy and insertion of T tube,3
4069476,Division of adhesions of internal nose,3
4069987,Excision of sebaceous cyst of head or neck,3
4069992,Biopsy of lesion of external nose,3
4070702,Primary repair of inguinal hernia using synthetic patch,3
4071520,Abdominolipectomy,3
4071642,Repair of episiotomy,3
4071927,Limited palmar fasciectomy,3
4072024,Excision of ganglion cyst of wrist,3
4072070,Open excision of urethral lesion,3
4072378,Revision anterior excision cervical disc and fusion,3
4072550,Removal of fixation of mandible,3
4072693,Revision extended posterior decompression lumbar spine and fusion,3
4073385,Excision of lesion of chest wall,3
4073526,Repair of bilateral inguinal hernias,3
4073804,Excision of ganglion cyst of foot,3
4073831,Primary extended posterior decompression lumbar spine and fusion,3
4074111,Posterior exploration lumbar spine,3
4074140,Standard circumcision,3
4074877,Left salpingectomy,3
4075158,Biopsy of tongue,3
4075296,Block dissection of cervical lymph nodes,3
4076610,Revision hybrid total shoulder replacement,3
4078256,Revision arthroscopic allograft ligament replacement,3
4078308,Repair of ileostomy,3
4078547,Arthroplasty of knee,3
4079943,Primary closed reduction of traumatic dislocation of joint,3
4080038,Second look laparotomy,3
4080349,Mastoidotomy,3
4081731,Biopsy of skin,3
4085219,"Debridement of skin, subcutaneous tissue, muscle and bone",3
4090451,Revision of knee arthroplasty,3
4090927,Revision of shoulder arthroplasty,3
4099625,Excision of bunion,3
4099786,Urethral dilatation - female,3
4101249,"Arthroplasty of knee, condyle and plateau, lateral compartment",3
4103646,Construction of sigmoid loop colostomy,3
4104016,Tonsillectomy and adenoidectomy,3
4104974,Incision and drainage of deep abscess of thigh region,3
4105908,Resuture of wound dehiscence,3
4114318,Arthrodesis of finger,3
4114628,Biopsy of brain meninges,3
4116584,Removal of plate from bone,3
4118458,Osteotomy of body of os calcis,3
4121135,Intermaxillary fixation of mandible and maxilla,3
4122103,Excision of lesion of cheek,3
4122291,Cranial ventriculostomy,3
4124337,Closure of palatal fistula,3
4125482,Splenectomy,3
4126179,Posterolateral thoracotomy,3
4128039,Repair of perineal tear,3
4130188,Vaginal myomectomy,3
4134717,Repair of rectocele,3
4141774,Salivary calculus manipulation,3
4143728,Percutaneous tracheostomy,3
4145224,Closure of defunctioning colostomy,3
4145274,Discectomy of spine,3
4147839,Laparoscopy with excision of lesion,3
4149603,Arthroscopic trimming of meniscus,3
4151314,Removal of Kirschner wire internal bone fixator,3
4168133,Incision of trachea,3
4169916,Augmentation of bladder,3
4173316,Fixation of tendon,3
4173515,MUA - Manipulation under anesthetic of fractured nasal bones,3
4177797,"Complex surgical repair of eyelids, nose, ears and lips",3
4178315,Revision of hybrid total prosthetic replacement of hip joint using cemented femoral component,3
4178646,Excision of lamina of lumbar vertebra,3
4180164,Incision and drainage of soft tissue,3
4186742,"Removal of inflatable penile prosthesis, with pump, reservoir and cylinders",3
4187383,Excision of submandibular gland,3
4187800,Excision of malignant tumor of breast,3
4189604,Arthroscopic synovial biopsy of knee joint,3
4194239,Excision of osteochondroma,3
4194260,Endoscopy of pharynx,3
4196192,Ossiculectomy with tympanoplasty revision,3
4196574,Injection of Teflon into vocal cord,3
4197725,Repair of obstetric laceration of lower urinary tract,3
4201033,Laparoscopic salpingotomy,3
4202369,Bronchoscopy with removal of foreign body,3
4208261,Partial urethrectomy,3
4208914,Hysteroscopy and removal of impacted foreign body,3
4209890,Incision of seminal vesicle,3
4211987,Open reduction of fracture of femur with internal fixation,3
4217608,Partial amputation of penis,3
4221619,Excision of lesion of vagina,3
4222173,Internal fixation of bone of ulna,3
4227448,Open reduction of closed shoulder dislocation,3
4231059,Open grafting of osteochondral autograft to knee,3
4231114,Correction of bunionette,3
4231427,Removal of artificial bladder sphincter,3
4232460,Secondary repair of ruptured Achilles tendon,3
4238120,Thyroid isthmectomy,3
4238653,Pericardiostomy,3
4238701,Excision of buccal mucosa,3
4241100,Reduction mammoplasty,3
4248872,"Cranial decompression, posterior fossa",3
4252595,Hallux valgus correction by phalanx osteotomy,3
4253073,"Suture of hamstring muscle rupture, primary",3
4253819,Fasciectomy,3
4257898,Craniectomy with excision of brain abscess,3
4259549,Percutaneous skeletal fixation of fracture of metacarpal,3
4262268,Incision and drainage of abscess of subcutaneous tissue,3
4263742,Debridement of bone,3
4264582,Transplantation of temporalis muscle,3
4266062,Revision of total hip replacement,3
4267225,Lingulectomy of lung,3
4269207,Grafting of temporalis muscle to orbit,3
4271995,Excision of benign tumor of breast,3
4273759,Dilation of vagina,3
4279632,Open reduction of fracture of zygoma or zygomatic arch,3
4280601,Repair of vagina,3
4282632,Local excision of skin,3
4286639,Debridement of abdominal wall,3
4286887,Radical orchiectomy,3
4289000,Debridement of muscle,3
4294869,High anterior resection of rectum,3
4298098,Synovectomy of knee joint,3
4299732,Hydrodistension of bladder,3
4302749,Tenotomy,3
4304943,Endoscopic retrograde cholangiopancreatography,3
4306947,Cricopharyngeal myotomy,3
4307240,Uvulopalatopharyngoplasty,3
4307594,Incision and exploration of scrotum,3
4308888,Resuture of wound of skin,3
4309648,Hemiglossectomy,3
4310552,Orchidopexy,3
4311023,Revision of stoma of trachea,3
4311671,Episiotomy,3
4321575,Lysis of penile adhesions,3
4321677,Excision of ganglion cyst,3
4322062,Tongue destructive procedure,3
4322181,Loop colostomy,3
4324062,Skin sparing mastectomy,3
4332434,Excision of peripheral neuroma,3
4333691,Intranasal optic nerve decompression,3
4336150,Small fenestra stapedectomy,3
4339612,Excision of segment of right lower lobe,3
4343907,Repair of anterior cruciate ligament of knee joint,3
4346964,Reconstruction of posterior cruciate ligament of knee joint,3
4353741,Cardioversion,3
35621955,Excision of pilonidal sinus and closure with skin flap,3
37017015,Endoscopic nasopharyngectomy,3
37116646,Prosthetic total arthroplasty of right shoulder,3
40479253,Excision of neoplasm of soft tissue of face,3
40481592,Biopsy of lesion of penis,3
40481606,Removal of cervicoisthmic cerclage by abdominal approach,3
40482711,Defibulation of vulva,3
40483276,Limited thoracotomy and biopsy of lung,3
40484051,Revision of decompression of carpal tunnel,3
40486399,Incision and drainage of Bartholin's gland,3
40486441,Incision of abscess of breast,3
40487076,Arthrodesis of toe,3
40487112,Insertion of seton into high anal fistula and partial laying open of track,3
40487503,Excision of exostosis of toe,3
40487912,Reinsertion of tunneled central venous catheter,3
40488324,Cystoscopy and lithotripsy of calculus of bladder using laser,3
40488366,Ablation of neoplasm of urinary bladder using laser,3
40488472,Craniotomy and clipping of intracranial aneurysm,3
40488888,Primary excision of thoracic intervertebral disc by anterolateral approach,3
40489868,Excision of nodule of skin of elbow,3
40489924,Fusion of atlantooccipital joint with internal fixation by posterior approach,3
40490972,Prosthetic hemiarthroplasty of articulation of bone,3
40491372,Mastectomy and axillary clearance,3
40491824,Fenestration of cyst of arachnoid,3
40491839,Destruction of lesion of nose,3
40491964,Revision of extended posterior decompression of lumbar spine,3
40492950,Revision of posterior decompression of lumbar spinal cord,3
40493291,Laparotomy and incision of small intestine,3
42535383,Fluoroscopy guided left nephrostomy,3
42536282,Reimplantation of left ureter,3
42536284,Fixation of right testis,3
42537288,Excision of lesion of base of skull with reconstruction,3
42539321,"Repair of right inguinal hernia, direct and indirect",3
42539511,Closed reduction of fracture of right femur and internal fixation using dynamic hip screw plate,3
42872502,Sialendoscopic removal of calculus from submandibular gland using grasping forceps,3
42872681,Debridement of skin of neck,3
42872810,Osteotomy and internal fixation,3
43531188,Laparoscopic excision of bilateral ovarian cysts,3
43531549,Open repair of recurrent paraumbilical hernia with prosthesis,3
43531659,Open repair of obstructed inguinal hernia,3
44783186,Bristow-Latarjet procedure,3
44790276,Revisional transforaminal interbody fusion of joint of lumbar spine,3
44801876,Endoscopic partial laryngectomy,3
44806386,Transrectal ultrasound guided cryotherapy to prostate,3
44806573,Primary decompression of posterior fossa and upper cervical spinal cord,3
44807570,Sialendoscopically assisted extra-oral removal of stone from parotid duct,3
44807933,Laparoscopic high anterior resection of rectum converted to open,3
44809176,Primary open reduction of fracture of neck of femur and open fixation using proximal femoral nail antirotation,3
44809644,Laparoscopically assisted extended right hemicolectomy,3
44811300,Insertion of weight into upper eyelid,3
45766720,Laparoscopic repair of hernia of anterior abdominal wall,3
45771078,Insertion of anal seton,3
45773396,Biopsy of head,3
46270773,Biopsy of lesion of oral cavity,3
46270922,Robot assisted laparoscopic anterior resection of rectum,3
46270958,Open reduction of fracture of hand and percutaneous fixation using Kirschner wire,3
46270991,Emergency lower segment cesarean section with inverted T incision,3
46271310,Incision and drainage of infection of hand,3
506605,Repair of external nose using skin flap,2
4000915,Breast closure,2
4003533,Epididymis reconstruction,2
4004270,Revision of jejunoileal bypass,2
4014365,Vestibular nerve section,2
4017325,Anastomosis of ileum to cecum,2
4020929,Excision of synovial cyst,2
4021363,Salpingo-oophorectomy,2
4022944,Percutaneous nephrolithotomy without disintegration,2
4022956,Ureteric reimplantation after urinary diversion,2
4023285,Clam ileocystoplasty,2
4027565,Revision of implant,2
4028215,Suture of ligament of ankle,2
4029787,Biopsy of bone,2
4031813,Repair of vaginal wall prolapse,2
4032497,Anastomosis of bilateral epididymides to bilateral vas deferens,2
4034250,Prosthetic hemiarthroplasty of the shoulder,2
4034386,Open reduction of closed radial shaft fracture,2
4035029,Operative procedure on humerus,2
4045658,Division of ligament,2
4045967,Excision of cranial nerve tumor,2
4048330,Biopsy of sphenoid sinus,2
4048449,Open reduction of dislocation of ankle,2
4048635,Biopsy of ethmoid sinus,2
4052393,Avulsion of varicose vein,2
4055881,Ureteroscopy with biopsy,2
4062784,Biopsy of skull,2
4062865,Excision of lesion of cerebellum,2
4062867,Repair of vault of vagina,2
4064245,Microdochotomy,2
4065167,Open biopsy of lesion of frontal lobe of brain,2
4065313,Transsphenoidal hypophysectomy,2
4066059,Total petrosectomy,2
4066401,Fiberoptic esophagoscopy and biopsy,2
4066550,Breast cavity shavings,2
4066887,"Reconstruction of nose, total with forehead flap",2
4067119,Forceps extraction of lens,2
4067139,Biopsy of lesion of pinna,2
4067238,Biopsy of lesion of middle ear,2
4067368,Functional endoscopic sinus surgery - excisional surgery to middle turbinate,2
4067375,Division of adhesions of turbinate of nose,2
4067699,Rigid bronchoscopic laser destruction of lesion below trachea,2
4067981,Dilation of bladder neck,2
4068298,Excision of lactiferous duct fistula of breast,2
4068996,Anterior resection of rectum and anastomosis of colon to rectum using staples,2
4069622,Rigid bronchoscopic laser destruction of lesion of trachea,2
4069691,Arthroscopy of wrist with partial synovectomy,2
4070006,Biopsy of lesion of nasal mucosa,2
4070223,Immediate repair of obstetric laceration of vagina and floor of pelvis,2
